date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:02	101437/101437	---M--	200	added ('OK')	image/jpeg	etag:%2218c3d-5dca665097646%22	https://rooicell.co.kr/images/page/m11_img1.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/page/m11_img1.jpg	(from https://rooicell.co.kr/m11.php)
16:18:02	95201/95201	---M--	200	added ('OK')	image/jpeg	etag:%22173e1-5dca66509bc96%22	https://rooicell.co.kr/images/page/m11_img2.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/page/m11_img2.jpg	(from https://rooicell.co.kr/m11.php)
16:18:02	8834367/8834367	---M--	200	added ('OK')	image/gif	etag:%2286cd3f-5dd87f723d4a8%22	https://rooicell.co.kr/images/page/rooicell.gif	C:/rooicel/rooicel/rooicell.co.kr/images/page/rooicell.gif	(from https://rooicell.co.kr/m11.php)
16:18:02	851050/851050	---M--	200	added ('OK')	image/jpeg	etag:%22cfc6a-5dca6650bdf77%22	https://rooicell.co.kr/images/page/m11_img5.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/page/m11_img5.jpg	(from https://rooicell.co.kr/m11.php)
16:18:03	103325/103325	---M--	200	added ('OK')	image/jpeg	etag:%221939d-5dca6650c1628%22	https://rooicell.co.kr/images/page/m11_img6.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/page/m11_img6.jpg	(from https://rooicell.co.kr/m11.php)
16:18:03	46970/46970	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:02%20GMT	https://rooicell.co.kr/product_view.php?idx=60	C:/rooicel/rooicel/rooicell.co.kr/product_view4a96.html	(from https://rooicell.co.kr/m11.php)
16:18:03	23235/23235	---M--	200	added ('OK')	image/jpeg	etag:%225ac3-5f414c79907c6%22	https://rooicell.co.kr/data/brand/file1_1675744968h9f0uludzz.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_1675744968h9f0uludzz.jpg	(from https://rooicell.co.kr/m11.php)
16:18:03	46104/46104	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:03%20GMT	https://rooicell.co.kr/product_view.php?idx=59	C:/rooicel/rooicel/rooicell.co.kr/product_viewa97f.html	(from https://rooicell.co.kr/m11.php)
16:18:03	24227/24227	---M--	200	added ('OK')	image/jpeg	etag:%225ea3-5f414bf99ed08%22	https://rooicell.co.kr/data/brand/file1_1675744834ua7zgha964.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_1675744834ua7zgha964.jpg	(from https://rooicell.co.kr/m11.php)
16:18:04	45470/45470	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:03%20GMT	https://rooicell.co.kr/product_view.php?idx=58	C:/rooicel/rooicel/rooicell.co.kr/product_viewa900.html	(from https://rooicell.co.kr/m11.php)
16:18:04	23752/23752	---M--	200	added ('OK')	image/jpeg	etag:%225cc8-5f414b7addd67%22	https://rooicell.co.kr/data/brand/file1_1675744701r5225ck279.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_1675744701r5225ck279.jpg	(from https://rooicell.co.kr/m11.php)
16:18:04	13080/13080	---M--	200	added ('OK')	image/jpeg	etag:%223318-5dd8aac94b074%22	https://rooicell.co.kr/data/brand/file1_1650962554wfu0f0obho.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_1650962554wfu0f0obho.jpg	(from https://rooicell.co.kr/m11.php)
16:18:04	12656/12656	---M--	200	added ('OK')	image/jpeg	etag:%223170-5dd8aaa67adc1%22	https://rooicell.co.kr/data/brand/file1_16509625172knppoxvwr.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_16509625172knppoxvwr.jpg	(from https://rooicell.co.kr/m11.php)
16:18:04	12186/12186	---M--	200	added ('OK')	image/jpeg	etag:%222f9a-5dd8aa827bb60%22	https://rooicell.co.kr/data/brand/file1_1650962479r5vo8iuztq.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_1650962479r5vo8iuztq.jpg	(from https://rooicell.co.kr/m11.php)
16:18:05	12740/12740	---M--	200	added ('OK')	image/jpeg	etag:%2231c4-5dd8aaebe82c3%22	https://rooicell.co.kr/data/brand/file1_1650962590u9eg4pjmu9.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_1650962590u9eg4pjmu9.jpg	(from https://rooicell.co.kr/m11.php)
16:18:05	44575/44575	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:04%20GMT	https://rooicell.co.kr/product_view.php?idx=26	C:/rooicel/rooicel/rooicell.co.kr/product_view1a89.html	(from https://rooicell.co.kr/m11.php)
16:18:05	10840/10840	---M--	200	added ('OK')	image/jpeg	etag:%222a58-5ddaf13b39dba%22	https://rooicell.co.kr/data/brand/file1_1651118903tvr3dipkm4.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_1651118903tvr3dipkm4.jpg	(from https://rooicell.co.kr/m11.php)
16:18:05	44691/44691	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:05%20GMT	https://rooicell.co.kr/product_view.php?idx=25	C:/rooicel/rooicel/rooicell.co.kr/product_viewb1f5.html	(from https://rooicell.co.kr/m11.php)
16:18:05	10645/10645	---M--	200	added ('OK')	image/jpeg	etag:%222995-5ddaf15ecc621%22	https://rooicell.co.kr/data/brand/file1_16511189407ysruxv2jg.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/brand/file1_16511189407ysruxv2jg.jpg	(from https://rooicell.co.kr/m11.php)
16:18:06	44463/44463	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:05%20GMT	https://rooicell.co.kr/product_view.php?idx=24	C:/rooicel/rooicel/rooicell.co.kr/product_viewbb98.html	(from https://rooicell.co.kr/m11.php)
